KD,Kill,Death,Assistant,WinRate,PickRate,AvgScore,FirstBloodRate
1.04,4.0,3.8,1.2,51.1,4.6,199.0,0.2
1.1,4.6,4.2,1.4,50.9,11.0,233.0,0.1
1.1,4.5,4.1,1.1,50.9,3.6,217.0,0.1
1.05,4.4,4.2,1.1,50.4,10.8,218.0,0.1
1.02,4.1,4.0,1.3,50.2,6.2,204.0,0.1
0.95,3.7,3.9,1.7,50.1,2.6,190.0,0.1
0.89,3.5,4.0,1.8,49.8,10.2,176.0,0.1
0.98,4.2,4.3,1.2,49.7,6.8,208.0,0.1
0.99,4.1,4.1,1.6,49.7,1.4,202.0,0.1
0.87,3.5,4.1,1.3,49.3,2.7,175.0,0.1
0.95,3.9,4.1,1.4,49.2,4.3,193.0,0.1
0.85,3.5,4.1,1.8,49.1,4.4,176.0,0.1
0.92,3.6,4.0,1.4,48.9,4.8,183.0,0.1
0.91,3.7,4.1,2.1,48.7,2.9,186.0,0.1
0.99,3.9,4.0,1.4,48.7,2.4,188.0,0.1
0.89,3.7,4.2,2.2,48.7,2.9,189.0,0.1
0.93,3.8,4.1,1.2,48.6,5.0,188.0,0.1
1.01,4.0,4.0,1.4,48.2,0.7,193.0,0.1
0.88,3.7,4.2,1.5,45.3,1.3,184.0,0.1
1.15,4.7,4.1,1.3,51.2,11.6,230.0,0.1
1.08,4.5,4.2,1.1,51.1,10.9,221.0,0.1
1.02,4.1,4.0,1.2,50.7,6.4,203.0,0.1
1.08,4.5,4.2,1.3,50.6,10.5,228.0,0.1
1.09,4.4,4.0,1.0,50.6,3.8,213.0,0.1
1.01,4.3,4.3,1.2,50.2,6.9,215.0,0.1
0.92,3.7,4.1,1.9,50.1,3.1,188.0,0.1
0.89,3.6,4.0,1.6,49.9,10.4,177.0,0.1
0.86,3.5,4.1,1.7,49.9,4.2,177.0,0.1
0.97,4.1,4.2,1.6,49.6,1.5,200.0,0.1
0.94,3.7,3.9,1.1,49.4,3.7,186.0,0.2
0.89,3.6,4.0,1.3,49.3,4.5,179.0,0.1
0.94,3.9,4.1,1.2,49.3,5.3,189.0,0.1
0.93,3.7,4.0,1.5,49.1,2.6,190.0,0.1
0.84,3.4,4.1,1.3,49.0,2.7,172.0,0.1
0.98,3.9,4.0,1.4,48.4,2.4,190.0,0.1
0.89,3.7,4.2,2.3,48.1,3.1,190.0,0.1
0.96,4.0,4.2,1.3,47.9,4.6,194.0,0.1
0.88,3.7,4.2,1.4,47.7,1.4,182.0,0.1
